1558807138.500026213 10 -nan -nan 2.42092e-322
1558807182.860415114 0.881272 2.08659 3.04955 2.42092e-322
1558807182.928128716 0.888293 2.10603 3.04955 1.8231e-321
1558807183.076898379 0.896296 2.12639 3.04955 1.8231e-321
1558807183.214787481 0.905247 2.14744 3.04955 2.42092e-322
1558807183.356687345 0.914922 2.16932 3.04955 2.42092e-322
1558807183.500691218 0.925256 2.19207 3.04955 2.42092e-322
1558807183.643427800 0.93653 2.21687 3.04955 1.8231e-321
1558807183.787524998 0.949164 2.24193 3.04955 2.42092e-322
1558807183.927831889 0.961001 2.26502 3.04955 2.42092e-322
1558807184.071478899 1.02806 1.76423 3.51697 3.21143e-322
1558807184.214345693 1.04147 1.7907 3.51697 2.42092e-322
1558807184.356746405 1.05559 1.8188 3.51697 1.8231e-321
1558807184.499371335 1.07026 1.84817 3.51697 1.8231e-321
1558807184.646681911 1.08634 1.88047 3.51697 2.42092e-322
1558807184.786355256 1.10275 1.91349 3.51697 1.63042e-322
1558807184.928565331 1.11822 1.94463 3.51697 1.8231e-321
1558807185.073279769 1.13379 1.97601 3.51697 2.42092e-322
1558807185.266516090 1.12459 1.93373 3.51697 2.42092e-322
1558807185.364226482 1.13262 1.94981 3.51697 1.8231e-321
1558807185.500121599 1.14142 1.96743 3.51697 1.63042e-322
1558807185.642655081 1.15169 1.98805 3.51697 4.03285e-318
1558807185.787870017 1.16255 2.00985 3.51697 1.8231e-321
1558807185.928330574 1.17335 2.03154 3.51697 1.8231e-321
1558807186.070602018 1.18465 2.05423 3.51697 2.42092e-322
1558807186.213543349 1.1964 2.07782 3.51697 1.8231e-321
1558807186.480911169 1.58194 3.86163 3.92215 1.8231e-321
1558807186.498536152 1.58777 3.86964 3.92215 7.95446e-322
1558807186.642448055 1.59485 3.88001 3.92215 1.8231e-321
1558807186.788201930 1.60188 3.88964 3.92215 2.42092e-322
1558807186.928548824 1.6096 3.90113 3.92215 2.42092e-322
1558807187.078267067 1.61852 3.91498 3.92215 2.42092e-322
1558807187.213249368 1.62771 3.92933 3.92215 1.63042e-322
1558807187.356622029 1.63729 3.94445 3.92215 1.63042e-322
1558807187.500822021 1.64712 3.96003 3.92215 1.63042e-322
1558807187.659031851 1.11051 3.88097 3.92215 2.42092e-322
1558807187.786436286 1.12157 3.89831 3.92215 1.63042e-322
1558807187.936472768 1.12733 3.90563 3.92215 2.42092e-322
1558807188.074178118 1.13341 3.91359 3.92215 2.42092e-322
1558807188.213652607 1.13984 3.9221 3.92215 1.63042e-322
1558807188.356627005 1.14656 3.93108 3.92215 1.63042e-322
1558807188.499158524 1.15362 3.94051 3.92215 1.63042e-322
1558807188.654439669 1.56722 2.859 2.51958 2.42092e-322
1558807188.790516398 1.57254 2.86963 2.51958 1.8231e-321
1558807188.929159698 1.57865 2.88185 2.51958 1.63042e-322
1558807189.073176843 1.5854 2.89535 2.51958 2.42092e-322
1558807189.218661074 1.59253 2.90962 2.51958 2.42092e-322
1558807189.356705655 1.6 2.92455 2.51958 2.42092e-322
1558807189.499295734 1.60771 2.93997 2.51958 1.63042e-322
1558807189.648565101 1.6131 2.95075 2.51958 2.42092e-322
1558807189.855099828 0.785708 2.08358 3.92215 1.8231e-321
1558807189.927772073 0.79298 2.0943 3.92215 1.8231e-321
1558807190.072569413 0.801641 2.10754 3.92215 2.42092e-322
1558807190.215077056 0.811283 2.12254 3.92215 1.8231e-321
1558807190.359054987 0.821581 2.13873 3.92215 1.8231e-321
1558807190.500860279 0.832288 2.15564 3.92215 1.63042e-322
1558807190.649315753 0.844156 2.17468 3.92215 1.8231e-321
1558807190.787818636 0.856134 2.19355 3.92215 1.8231e-321
1558807190.928241890 0.867556 2.21175 3.92215 2.42092e-322
1558807191.070211717 0.781282 2.0183 4.59747 1.8231e-321
1558807191.214421826 0.790729 2.03219 4.59747 1.3488e-321
1558807191.363354515 0.800061 2.04754 4.59747 1.8231e-321
1558807191.499692250 0.809303 2.06435 4.59747 1.8231e-321
1558807191.643421516 0.820003 2.08388 4.59747 2.42092e-322
1558807191.788110807 0.83178 2.1058 4.59747 1.63042e-322
1558807191.929273450 0.843666 2.12726 4.59747 2.42092e-322
1558807192.069823319 1.13045 1.99252 3.91774 2.42092e-322
1558807192.213854431 1.12932 1.99026 3.91774 1.8231e-321
1558807192.356743970 1.13201 1.99564 3.91774 2.42092e-322
1558807192.498362994 1.13859 2.0088 3.91774 1.63042e-322
1558807192.643576420 1.14666 2.02492 3.91774 2.42092e-322
1558807192.783733794 1.15601 2.04364 3.91774 2.42092e-322
1558807192.927449897 1.16478 2.06117 3.91774 2.42092e-322
1558807193.070394485 1.17375 2.07912 3.91774 2.42092e-322
1558807193.273281125 0.7712 0.583487 3.05389 2.42092e-322
1558807193.356573168 0.780097 0.597568 3.05389 1.3488e-321
1558807193.500835562 0.789503 0.612776 3.05389 2.42092e-322
1558807193.642475656 0.799868 0.630535 3.05389 2.42092e-322
1558807193.785120231 0.807856 0.649401 3.05389 2.42092e-322
1558807193.926854815 0.815747 0.668522 3.05389 1.9771e-319
1558807194.070686678 0.824443 0.6891 3.05389 1.63042e-322
1558807194.288546782 0.868794 2.02315 2.51414 2.42092e-322
1558807194.362813520 0.862747 2.01628 2.51414 1.63042e-322
1558807194.500452129 0.85988 2.01539 2.51414 1.8231e-321
1558807194.642257268 0.860279 2.02129 2.51414 2.42092e-322
1558807194.787582581 0.862703 2.03038 2.51414 1.8231e-321
1558807194.927692068 0.868067 2.04497 2.51414 1.63042e-322
1558807195.074519758 0.875929 2.06424 2.51414 2.42092e-322
1558807195.214609221 0.884637 2.08517 2.51414 1.63042e-322
1558807195.458710145 0.792986 3.26268 3.51226 1.8231e-321
1558807195.498655144 0.797658 3.26561 3.51226 1.63042e-322
1558807195.642745655 0.803672 3.26963 3.51226 2.42092e-322
1558807195.785610233 0.809888 3.27467 3.51226 1.8231e-321
1558807195.935114060 0.816579 3.28043 3.51226 2.42092e-322
1558807196.070980816 0.823924 3.28734 3.51226 1.8231e-321
1558807196.213045738 0.83197 3.29554 3.51226 2.42092e-322
1558807196.357563881 0.840772 3.30516 3.51226 2.42092e-322
1558807196.498500437 0.850488 3.31655 3.51226 5.58294e-322
1558807196.653722991 0.81964 1.41616 3.51697 1.63042e-322
